日付,到着時刻,定刻,遅延(分),状況,系統,バス停名,ナンバー,バス会社
2026/08/10,07:00,06:59,1,定時,98,沖縄国際大学前（バイパス・大謝名向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:00,06:59,1,定時,98,おもろまち駅前（国際通り・開南・久茂地向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:00,06:53,7,遅延 +7分,98,宇栄原団地前（豊崎向け）,沖縄200か640,琉球バス交通
2026/08/10,07:01,07:04,-3,早着 -3分,98,安里一区（国際通り向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:01,,,定刻不明,98,第一佐真下（バイパス・大謝名向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:02,06:55,7,遅延 +7分,98,とみぐすく南（豊崎向け）,沖縄200か640,琉球バス交通
2026/08/10,07:03,,,定刻不明,98,第二佐真下（バイパス・大謝名向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:03,06:56,7,遅延 +7分,98,平和台北口（豊崎向け）,沖縄200か640,琉球バス交通
2026/08/10,07:04,06:58,6,遅延 +6分,98,宜保公民館前（豊崎向け）,沖縄200か640,琉球バス交通
2026/08/10,07:04,07:04,0,定時,98,安里（那覇バスターミナル・旭橋向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:04,06:58,6,遅延 +6分,98,宜保（豊崎向け）,沖縄200か640,琉球バス交通
2026/08/10,07:05,,,定刻不明,98,牧志（那覇バスターミナル・旭橋向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:06,07:04,2,定時,98,真栄原（古島駅向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:06,07:00,6,遅延 +6分,98,豊見城中央病院前（豊崎向け）,沖縄200か640,琉球バス交通
2026/08/10,07:07,07:01,6,遅延 +6分,98,平和台団地入口（豊崎向け）,沖縄200か640,琉球バス交通
2026/08/10,07:07,07:08,-1,定時,98,広栄団地入口（古島駅向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:07,07:07,0,定時,98,ホテルコレクティブ前（那覇バスターミナル・旭橋向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:09,07:08,1,定時,98,広栄（古島駅向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:10,07:04,6,遅延 +6分,98,我那覇（糸満・豊崎向け）,沖縄200か640,琉球バス交通
2026/08/10,07:11,07:12,-1,定時,98,県庁北口（那覇バスターミナル・旭橋向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:11,07:05,6,遅延 +6分,98,伊良波（糸満・豊崎向け）,沖縄200か640,琉球バス交通
2026/08/10,07:12,07:11,1,定時,98,嘉数（宜野湾市）（古島駅向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:12,07:06,6,遅延 +6分,98,与根入口（糸満・豊崎向け）,沖縄200か640,琉球バス交通
2026/08/10,07:13,07:15,-2,早着 -2分,98,旭橋・那覇バスターミナル（公園前向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:13,07:08,5,遅延 +5分,98,翁長北（道の駅豊崎向け）,沖縄200か640,琉球バス交通
2026/08/10,07:14,07:14,0,定時,98,浅野浦（古島駅向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:15,07:16,-1,定時,98,大平（浦添市）（古島駅向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:17,07:10,7,遅延 +7分,98,豊崎入口（道の駅豊崎向け）,沖縄200か640,琉球バス交通
2026/08/10,07:17,07:18,-1,定時,98,陽明高校前（古島駅向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:17,07:11,6,遅延 +6分,98,アウトレットモールあしびなー前（道の駅豊崎向け）,沖縄200か640,琉球バス交通
2026/08/10,07:18,07:20,-2,早着 -2分,98,琉大北口駐車場（那覇・豊崎向け）,沖縄200か1396,琉球バス交通
2026/08/10,07:18,07:16,2,定時,98,軍桟橋前（豊崎向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:19,07:17,2,定時,98,山下（豊崎向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:20,07:20,0,定時,98,沢岻（おもろまち駅向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:21,07:20,1,定時,98,小禄入口（豊崎向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:21,07:12,9,遅延 +9分,98,道の駅豊崎（終点）,沖縄200か640,琉球バス交通
2026/08/10,07:21,,,定刻不明,98,志真志三丁目（バイパス向け）,沖縄200か1396,琉球バス交通
2026/08/10,07:22,07:20,2,定時,98,小禄（豊崎向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:23,07:22,1,定時,98,末吉団地前（おもろまち駅向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:23,,,定刻不明,98,志真志ハイツ入口（バイパス向け）,沖縄200か1396,琉球バス交通
2026/08/10,07:24,,,定刻不明,98,志真志住宅前（バイパス向け）,沖縄200か1396,琉球バス交通
2026/08/10,07:24,07:20,4,遅延 +4分,98,小禄南小学校入口（豊崎向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:24,07:23,1,定時,98,古島駅前（おもろまち駅向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:25,07:24,1,定時,98,宇栄原団地前（豊崎向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:27,07:25,2,定時,98,長田（バイパス向け）,沖縄200か1396,琉球バス交通
2026/08/10,07:27,07:26,1,定時,98,とみぐすく南（豊崎向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:27,07:25,2,定時,98,興南高校前（国際通り・開南・久茂地向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:28,07:27,1,定時,98,平和台北口（豊崎向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:29,07:28,1,定時,98,沖縄国際大学入口（バイパス・大謝名向け）,沖縄200か1396,琉球バス交通
2026/08/10,07:29,07:27,2,定時,98,真嘉比（国際通り・開南・久茂地向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:29,07:29,0,定時,98,宜保公民館前（豊崎向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:30,07:29,1,定時,98,沖縄国際大学前（バイパス・大謝名向け）,沖縄200か1396,琉球バス交通
2026/08/10,07:31,,,定刻不明,98,第一佐真下（バイパス・大謝名向け）,沖縄200か1396,琉球バス交通
2026/08/10,07:31,07:29,2,定時,98,宜保（豊崎向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:32,07:29,3,定時,98,おもろまち駅前（国際通り・開南・久茂地向け）,沖縄200か1241,琉球バス交通
2026/08/10,07:32,07:31,1,定時,98,豊見城中央病院前（豊崎向け）,沖縄200か1717,琉球バス交通
2026/08/10,07:33,,,定刻不明,98,第二佐真下（バイパス・大謝名向け）,沖縄200か1396,琉球バス交通
2026/08/10,07:33,07:34,-1,定時,98,安里一区（国際通り向け）,沖縄200か1241,琉球バス交通
