stop_id,stop_order,stop_name
98001,1,宜野湾営業所
98002,2,宜野湾高校前
98003,3,コンベンションセンター前
98004,4,ラグナガーデンホテル前
98005,5,県営大山住宅前
98006,6,老人ホ－ム愛誠園前
98007,7,市営伊佐住宅前
98008,8,宜野湾市農協前
98009,9,伊佐川
98010,10,喜友名
98011,11,新城
98012,12,普天間入口
98013,13,普天間
98014,14,普天間市場入口
98015,15,野嵩
98016,16,宜野湾市役所前
98017,17,上原
98018,18,中原
98019,19,赤道
98020,20,愛知
98021,21,宜野湾
98022,22,琉大北口駐車場
98023,23,志真志三丁目
98024,24,志真志ハイツ入口
98025,25,志真志住宅前
98026,26,長田
98027,27,長田
98028,28,志真志
98029,29,中部商業高校前
98030,30,我如古
98031,31,佐真下
98032,32,沖縄国際大学入口
98033,33,沖縄国際大学前
98034,34,第一佐真下
98035,35,第二佐真下
98036,36,真栄原
98037,37,広栄団地入口
98038,38,広栄
98039,39,嘉数
98040,40,浅野浦
98041,41,大平
98042,42,陽明高校前
98043,43,沢岻
98044,44,末吉団地前
98045,45,古島駅前
98046,46,興南高校前
98047,47,真嘉比
98048,48,おもろまち駅前
98049,49,安里一区
98050,50,姫百合橋
98051,51,壺屋
98052,52,与儀十字路
98053,53,開南
98054,54,那覇高校前
98055,55,県庁前
98056,56,安里
98057,57,牧志
98058,58,ホテルコレクティブ前
98059,59,県庁北口
98060,60,旭橋
98061,61,公園前
98062,62,軍桟橋前
98063,63,山下
98064,64,小禄入口
98065,65,小禄
98066,66,小禄自治会館入口
98067,67,小禄南小学校入口
98068,68,宇栄原団地前
98069,69,とみぐすく南
98070,70,平和台北口
98071,71,宜保公民館前
98072,72,宜保
98073,73,豊見城中央病院前
98074,74,平和台団地入口
98075,75,我那覇
98076,76,伊良波
98077,77,座安入口
98078,78,与根入口
98079,79,翁長北
98080,80,豊崎入口
98081,81,アウトレットモールあしびなー前
98082,82,道の駅豊崎
98083,83,豊崎美らSUNビーチ前
