column_index,column_name,trip_no,trip_id,route_id,direction,start_time
11,col_11,1,98_up_001,98_up,up,09:30
3,col_3,2,98_up_002,98_up,up,0･:･･
4,col_4,3,98_up_003,98_up,up,0･:･･
5,col_5,4,98_up_004,98_up,up,0･:･･
6,col_6,5,98_up_005,98_up,up,0･:･･
7,col_7,6,98_up_006,98_up,up,0･:･･
8,col_8,7,98_up_007,98_up,up,0･:･･
9,col_9,8,98_up_008,98_up,up,0･:･･
10,col_10,9,98_up_009,98_up,up,0･:･･
12,col_12,10,98_up_010,98_up,up,0･:･･
13,col_13,11,98_up_011,98_up,up,0･:･･
14,col_14,12,98_up_012,98_up,up,0･:･･
15,col_15,13,98_up_013,98_up,up,0･:･･
16,col_16,14,98_up_014,98_up,up,0･:･･
17,col_17,15,98_up_015,98_up,up,0･:･･
18,col_18,16,98_up_016,98_up,up,0･:･･
19,col_19,17,98_up_017,98_up,up,0･:･･
20,col_20,18,98_up_018,98_up,up,0･:･･
21,col_21,19,98_up_019,98_up,up,0･:･･
23,col_23,20,98_up_020,98_up,up,0･:･･
24,col_24,21,98_up_021,98_up,up,0･:･･
25,col_25,22,98_up_022,98_up,up,0･:･･
26,col_26,23,98_up_023,98_up,up,0･:･･
27,col_27,24,98_up_024,98_up,up,0･:･･
29,col_29,25,98_up_025,98_up,up,0･:･･
22,col_22,26,98_up_026,98_up,up,16:30
28,col_28,27,98_up_027,98_up,up,20:30
